period,n,slope,se,lo,hi,level,t
202524,45,-0.08894013620102945,0.043615362434972695,-0.17442624657357592,-0.0034540258284829622,16.75111111111111,-2.0391928723195334
202525,50,-0.03014489371444933,0.03912474803039331,-0.10682939985402021,0.04653961242512156,16.868,-0.770481478654683
202526,47,-0.10666037869144782,0.04936643781418648,-0.20341859680725333,-0.009902160575642319,17.578723404255314,-2.1605848713029223
202601,49,-0.051234136258595575,0.03151714978147018,-0.11300774983027713,0.01053947731308598,16.930612244897958,-1.6255954809948445
202602,47,-0.06583210434750388,0.05085038411338278,-0.16549885720973412,0.03383464851472637,17.62765957446808,-1.2946235411067075
202603,47,-0.10172044116563644,0.02205521462692986,-0.14494866183441896,-0.058492220496853924,18.106382978723403,-4.612081219170443
202604,46,-0.10210012081720234,0.031196216713630015,-0.16324470557591717,-0.04095553605848751,16.3695652173913,-3.27283663126348
202605,49,-0.07373756453685237,0.0230791838932689,-0.1189727649676594,-0.028502364106045334,17.940816326530612,-3.1949814550573477
202606,49,-0.1216549270678883,0.047416550580005254,-0.2145913662046986,-0.028718487931078007,17.828571428571426,-2.565663794177135
202607,49,-0.03819553387989048,0.052433271661735954,-0.14096474633689293,0.06457367857711199,18.734693877551017,-0.7284598627814465
202608,49,-0.09270702553060584,0.04485194129583194,-0.18061683047043645,-0.004797220590775225,18.910204081632653,-2.0669568106123655
202609,48,-0.0986585977497504,0.036080447711426024,-0.1693762752641454,-0.027940920235355396,19.127083333333335,-2.734406139824784
202610,48,-0.12787902451931135,0.02699666367828981,-0.18079248532875938,-0.07496556370986332,18.75625,-4.736845487398103
202611,49,-0.08894040391220287,0.03830787880590373,-0.1640238463717742,-0.013856961452631558,19.851020408163265,-2.321726148368623
202612,49,-0.10550396838476596,0.0703614251351343,-0.2434123616496292,0.032404424880097274,20.044897959183675,-1.4994575249454913
202613,48,-0.08545451298325703,0.03880772876797134,-0.16151766136848084,-0.009391364598033206,20.116666666666667,-2.201997274671329
202614,49,-0.11300189576281086,0.04243302744833019,-0.19617062956153802,-0.029833161964083685,20.446938775510205,-2.6630646587828526
202615,51,-0.08155769196531938,0.05127159947730633,-0.18205002694083977,0.01893464301020102,20.866666666666667,-1.5906991940327158
202616,51,-0.09285396725549076,0.07789181364424662,-0.24552192199821415,0.059813987487232614,21.15098039215686,-1.1920889103902552
202617,49,-0.03491622794803459,0.038123701926194596,-0.109638683723376,0.03980622782730682,22.0734693877551,-0.915866670441147
