year,coef,se,t
2012,-0.017688682749903484,0.04600592134501742,-0.3844870884608253
2013,-0.024193189807027633,0.04180105348353035,-0.578769858433347
2014,-0.026732059381337537,0.03858498571728401,-0.6928098814706313
2015,-0.01986024121439559,0.020700126751248906,-0.9594260679199637
2016,-0.011845081085392197,0.018682433396713265,-0.6340223906526042
2017,0.017161113021320295,0.01937985709917839,0.8855128772878227
2018,0.021544683039431366,0.023208538342231074,0.9283084837888262
2019,0.0,0.0,
2020,0.016526784114354785,0.023877452481277105,0.6921502252936673
2021,0.01496696649497593,0.032613233584636275,0.4589231072758973
2022,0.0035078440765086544,0.027633605400808465,0.12694123787430311
2023,-0.01311696434746458,0.029405061685779495,-0.446078450289667
2024,0.04661805721449357,0.03768276554459399,1.237118787349233
2025,0.09959016679039177,0.04665020787232926,2.134827931805724
2026,0.11139605004400399,0.05485162524240247,2.0308614293873366
