State,ai,available,ai_all,r_est,r_pop,n_est,pred_ind,pred_size,dev,adjusted_ai,resid
AK,17.3,5,15.950000000000001,35.44470716624227,32.64397845078546,21992,20.513489098864504,20.955116485821097,-1.1240719021585903,19.291194204283986,19.291194204283986
AL,18.0625,8,16.744999999999997,19.251795272290902,22.28186372611871,104998,21.971374361334135,21.168705550365132,-2.033046229172257,18.38221987727032,18.38221987727032
AR,16.775,8,14.5,34.45143756258046,39.5703637095371,69910,21.94062993477979,21.108830799432557,-3.229927051685337,17.18533905475724,17.18533905475724
AZ,24.1125,8,23.895,3.4041554173025004,4.730922259407884,161861,23.492016573573544,21.218810937557922,2.446206171395545,22.86147227783812,22.86147227783812
CA,22.25,8,20.66,1.9045238155455213,2.1735220624356333,1028026,22.282340240996245,21.117040424778516,1.89515301675225,22.310419123194826,22.310419123194826
CO,26.075,8,24.45,16.517133819039536,12.333794157452205,181454,24.181722488460295,21.08115088445802,3.8566603096086958,24.271926416051272,24.271926416051272
CT,19.6,8,17.5,5.267739054746052,5.764121683531414,88463,22.985924316466352,21.19790712856513,-1.5392977625044715,18.875968343938105,18.875968343938105
DC,30.571428571428573,7,27.400000000000002,0.0,0.0,23801,25.136333658892706,21.517697260619304,6.961931334443573,27.37719744088615,27.37719744088615
DE,22.825,8,22.21578947368421,21.927694359886445,23.978835251952628,29237,23.947331282670127,21.141522300509628,0.7806800993472542,21.19594620578983,21.19594620578983
FL,23.5375,8,21.675,2.2548054376217084,3.0573557560810483,643958,22.67404137436933,21.0475641116238,2.8604281965338814,23.275694302976458,23.275694302976458
GA,23.275,8,20.395,13.789432009932234,16.681808693651963,260163,22.538578096780206,21.163714381353255,2.6172412043935473,23.032507310836124,23.032507310836124
HI,16.2125,8,16.225,20.512112001473703,18.824152738922574,32571,21.357263836598282,21.13267539146454,-3.2329055455358144,17.182360560906762,17.182360560906762
IA,17.4875,8,15.459999999999999,40.557952883441516,38.63634582708144,82731,21.473902814776014,21.144803057826216,-2.0866721900752196,18.328593916367357,18.328593916367357
ID,20.675,8,19.085,25.736226697013397,26.53528399124357,57557,22.25603637784969,20.990961591984416,0.4725357126929062,20.887801819135483,20.887801819135483
IL,19.025,8,17.89,11.251747141536363,12.762911055353097,321239,21.773204503237235,21.20227893841856,-0.9059497591287844,19.509316347313792,19.509316347313792
IN,19.9,8,18.695,20.693218959525623,21.922582885222784,154814,21.466637129733783,21.262917711821668,0.21497884097155762,20.630244947414134,20.630244947414134
KS,18.725,8,17.52,32.561221244566944,29.703187332362113,75464,22.236026837515272,21.152615769338063,-1.6191089243263228,18.796157182116254,18.796157182116254
KY,18.825,8,17.1,32.53776628704515,38.184567747250455,93602,22.22150162427365,21.200790702156365,-1.5527586439030046,18.862507462539572,18.862507462539572
LA,18.05,8,15.15,12.844946653194784,15.870235394418387,107879,21.56109844783648,21.139552640368123,-1.6061174056775904,18.809148700764986,18.809148700764986
MA,22.4,8,20.59,2.2513630124626096,1.5061913248762397,182867,22.914598525053673,21.240375144922783,1.2895600125505524,21.70482611899313,21.70482611899313
MD,22.6375,8,21.130000000000003,5.6271420227028015,4.401977328327417,142097,23.221397570332485,21.220279858100124,1.2403562540944009,21.655622360536977,21.655622360536977
ME,17.5625,8,17.395,38.735334592867304,40.171570048716966,42873,22.602220657972733,20.99456439305549,-2.9897513685012136,17.425514737941363,17.425514737941363
MI,20.25,8,17.259999999999998,16.37292015142178,16.470601193907395,227180,21.966284757081752,21.19518546859861,0.13306345684664933,20.548329563289226,20.548329563289226
MN,22.9125,8,20.985,22.889691761872214,22.096229313480396,153615,22.17686364018396,21.21377153431155,2.566398508031501,22.981664614474077,22.981664614474077
MO,20.625,8,19.405,22.637426822954694,24.466779627916754,150662,22.437871428630004,21.179915342087074,0.05174691180993207,20.46701301825251,20.46701301825251
MS,14.671428571428573,7,13.868421052631579,49.82903844550079,50.87676642423764,59955,21.349686637827563,21.08899442205088,-4.7227188059228595,15.692547300519717,15.692547300519717
MT,20.1875,8,19.03,42.56465005931198,44.67661232677719,42150,21.698267013313952,20.86984743263491,0.663919236578149,21.079185343020725,21.079185343020725
NC,22.4125,8,20.695,18.579041543488408,21.038848254322954,257080,22.234314663113043,21.163032535972697,2.059686483441272,22.47495258988385,22.47495258988385
ND,14.625,4,14.424999999999999,42.90036224672585,39.818943542114305,25121,20.703727291644988,21.059732264120797,-4.093925873238774,16.321340233203802,16.321340233203802
NE,18.475,8,16.244999999999997,37.64697473285444,34.55491296474542,55962,21.660129718275417,21.104855249717755,-1.2454512854661601,19.169814820976416,19.169814820976416
NH,20.25,8,19.045,37.96193476745087,36.988477193583584,38723,23.255105080841922,21.13773732337974,-1.09830872169465,19.316957384747926,19.316957384747926
NJ,17.9,8,16.435,0.0,0.0,236915,21.813786352312086,21.15458618782898,-2.023838857614056,18.39142724882852,18.39142724882852
NM,16.5,8,14.985,30.84670151405912,33.29122436508334,44384,22.056313901696832,21.0896559017281,-3.6014361208979224,16.813829985544654,16.813829985544654
NV,24.6,8,22.255000000000003,6.808332898240485,7.4303278926140255,76612,23.707353059998713,21.187469310331316,2.7497113121969825,23.16497741863956,23.16497741863956
NY,16.2125,8,15.63,5.489433784121519,6.876837169820539,540165,21.716593171027366,21.089331675881247,-3.5488911643816046,16.866374942060972,16.866374942060972
OH,21.0,8,19.275,16.32313908338387,18.09660079013866,253934,21.790888112906387,21.30110320768394,0.9525423619366826,21.36780846837926,21.36780846837926
OK,17.275,8,15.355,29.26016811987678,32.5696647911919,95765,21.927144629959972,21.089487412704383,-2.697098360137346,17.71816774630523,17.71816774630523
OR,21.0375,8,20.98,14.160033514872225,15.12261708992801,121737,21.984480630800814,21.052816254663792,1.0447367970624057,21.460002903504982,21.460002903504982
PA,17.75,8,16.740000000000002,12.630164485406866,13.65254139524868,305863,21.88092380982725,21.24130152911399,-2.327691656414231,18.087574450028345,18.087574450028345
RI,26.675,4,21.491666666666664,0.0,0.0,29083,23.16579750726813,21.114049387811253,5.439686787447627,25.854952893890204,25.854952893890204
SC,22.1875,8,19.259999999999998,11.415723342561801,14.234085680653717,122086,22.884895554572516,21.13579516586357,1.2113429620909244,21.6266090685335,21.6266090685335
SD,19.8125,8,17.65,48.79780089773479,50.27073298092745,28739,21.538326631086303,21.012463335428453,0.3062437160122542,20.72150982245483,20.72150982245483
TN,19.575,8,18.375,18.116661079450218,21.23876402868537,149150,22.34764633091592,21.28158340211928,-1.009696050508193,19.405570055934383,19.405570055934383
TX,22.625,8,21.0,9.231562275878556,9.934078429273528,669280,22.058309279237232,21.225538136150668,2.3856862671391106,22.800952373581687,22.800952373581687
UT,25.0625,8,22.355,14.022171358654951,11.977719879105615,94807,23.723877827545728,21.149843167980414,3.2333126870008684,23.648578793443445,23.648578793443445
VA,23.5375,8,21.175,10.115277757921474,12.38082891139356,209841,22.91440221882933,21.199708498094417,2.4679229656032646,22.88318907204584,22.88318907204584
VT,19.885714285714283,7,17.258823529411764,66.18564742589703,64.9245735736156,20512,23.458866869803327,20.98152025378233,-1.5101391553443655,18.90512695109821,18.90512695109821
WA,24.8375,8,22.775,9.383695047301057,10.131402086439158,201264,22.144629470685317,21.085903920896204,4.651500290945489,25.066766397388065,25.066766397388065
WI,18.25,8,16.89,25.704085955785832,25.463247478077506,143981,21.51096586101073,21.267929483348155,-1.4843616618318762,18.9309044446107,18.9309044446107
WV,14.6125,8,13.492307692307692,37.350690424420414,39.19957228457571,35413,21.931190873219478,21.060069139751462,-5.334226330443929,15.081039775998647,15.081039775998647
WY,21.55,8,20.283333333333335,71.59823549372243,68.71514481209186,23576,21.699182642930506,20.831192109959215,2.0641589296372906,22.479425036079867,22.479425036079867
