PERIOD_ID,DATE_RANGE,STATE,NAICS2,MSA,NAICS3,EMPSIZE,ESTIMATE_PERCENTAGE,STANDARD_ERROR,INDEX_ESTIMATE_PERCENTAGE,INDEX_STANDARD_ERROR,QUESTION,ANSWER,OPTION_TEXT
107,8/10/2026 - 8/23/2026,AK,,,,,17.8,3.91,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,AL,,,,,17.3,2.57,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,AR,,,,,19.7,4.09,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,AZ,,,,,20.4,2.66,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,CA,,,,,23.6,0.8,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,CO,,,,,29.0,1.9,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,CT,,,,,18.2,1.39,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,DC,,,,,33.7,6.91,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,DE,,,,,25.2,3.34,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,FL,,,,,25.7,1.46,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,GA,,,,,26.5,2.0,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
107,8/10/2026 - 8/23/2026,HI,,,,,23.3,4.11,0.0,0.0,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",Yes,AI current
