State,broadband_share
AL,0.8746990232054422
AK,0.9192224238817446
AZ,0.9154866406099827
AR,0.8672614215576121
CA,0.9345817060130464
CO,0.93520350700736
CT,0.9217807165515928
DE,0.9235345912575428
DC,0.9120160497517652
FL,0.9161475000599808
GA,0.909729513745206
HI,0.9203233608080365
ID,0.9189009894741272
IL,0.9075078492803164
IN,0.8988059317918313
IA,0.8885116519103418
KS,0.9068761392092396
KY,0.886167247828428
LA,0.8658650915901107
ME,0.902895208813733
MD,0.9240133427679555
MA,0.9280061126546744
MI,0.9053804991648204
MN,0.916172542358928
MS,0.8409122854192003
MO,0.8926751845028381
MT,0.8941766424980223
NE,0.905588414821388
NV,0.9203496112150994
NH,0.9292093511951668
NJ,0.9280483142662388
NM,0.8653748325201155
NY,0.9084650520041964
NC,0.9007690879646548
ND,0.8871815938356143
OH,0.9010359658915308
OK,0.8886397689691876
OR,0.9239587249232144
PA,0.8974327815391253
RI,0.9174015444889824
SC,0.8880192484474659
SD,0.8962641980172018
TN,0.8920367938413973
TX,0.9135043286451806
UT,0.9336241645344776
VT,0.8974383357228546
VA,0.9100742423936308
WA,0.936041594612408
WV,0.8607146043051924
WI,0.9030820978592284
WY,0.8943522468539113
